"~id","~start_node_id","~end_node_id","~relationship_type","score","year","title"
"412","1","331","DIRECTED_BY","8.0","1975.0","Jaws "
"413","61","355","DIRECTED_BY","5.9","1986.0","The Golden Child "
"414","28","730","DIRECTED_BY","7.7","1982.0","Star Trek II: The Wrath of Khan "
"415","77","731","DIRECTED_BY","7.1","1983.0","WarGames "
"416","9","708","DIRECTED_BY","7.4","1985.0","Witness "
"417","455","732","DIRECTED_BY","6.6","1983.0","Yentl "
"418","456","718","DIRECTED_BY","7.0","1981.0","Time Bandits "
"419","457","733","DIRECTED_BY","8.0","1970.0","Patton "
"420","458","734","DIRECTED_BY","5.4","1979.0","Prophecy "
"421","12","733","DIRECTED_BY","7.0","1978.0","The Boys from Brazil "
"422","459","735","DIRECTED_BY","6.6","1981.0","The Postman Always Rings Twice "
"423","460","376","DIRECTED_BY","8.4","1981.0","Das Boot "
"424","461","736","DIRECTED_BY","5.7","1981.0","The Pursuit of D.B. Cooper "
"425","462","737","DIRECTED_BY","6.6","1989.0","Pet Sematary "
"426","463","738","DIRECTED_BY","7.2","1984.0","Gremlins "
"427","9","739","DIRECTED_BY","7.5","1973.0","American Graffiti "
"428","464","373","DIRECTED_BY","8.0","1965.0","Doctor Zhivago "
"429","465","740","DIRECTED_BY","7.2","1989.0","Major League "
"430","466","391","DIRECTED_BY","6.9","1981.0","History of the World: Part I "
"431","5","741","DIRECTED_BY","6.4","1978.0","F.I.S.T. "
"432","467","354","DIRECTED_BY","5.5","1986.0","Invaders from Mars "
"433","52","329","DIRECTED_BY","8.1","1975.0","Barry Lyndon "
"434","60","742","DIRECTED_BY","6.9","1970.0","The Molly Maguires "
"435","468","743","DIRECTED_BY","6.2","1969.0","Machine Gun McCain "
"436","469","329","DIRECTED_BY","8.3","1968.0","2001: A Space Odyssey "
"437","470","331","DIRECTED_BY","7.9","1982.0","E.T. the Extra-Terrestrial "
"438","36","345","DIRECTED_BY","6.9","1981.0","Stripes "
"439","54","346","DIRECTED_BY","7.0","1986.0","The Color of Money "
"440","471","744","DIRECTED_BY","7.8","1962.0","The Longest Day "
"441","64","745","DIRECTED_BY","6.9","1989.0","Bill & Ted's Excellent Adventure "
"442","34","746","DIRECTED_BY","7.5","1968.0","Oliver! "
"443","472","747","DIRECTED_BY","6.2","1985.0","Mad Max Beyond Thunderdome "
"444","473","717","DIRECTED_BY","6.7","1985.0","Commando "
"445","428","748","DIRECTED_BY","6.9","1985.0","The Last Dragon "
"446","474","738","DIRECTED_BY","6.5","1983.0","Twilight Zone: The Movie "
"447","475","749","DIRECTED_BY","6.5","1989.0","Road House "
"448","54","332","DIRECTED_BY","7.2","1983.0","The Outsiders "
"449","476","750","DIRECTED_BY","7.2","1983.0","The Dead Zone "
"450","477","751","DIRECTED_BY","5.3","1985.0","Invasion U.S.A. "
"451","49","752","DIRECTED_BY","7.1","1980.0","The Long Riders "
"452","478","380","DIRECTED_BY","6.8","1984.0","Body Double "
"453","479","753","DIRECTED_BY","4.2","1981.0","Heartbeeps "
"454","480","754","DIRECTED_BY","5.6","1987.0","Malone "
"455","481","733","DIRECTED_BY","5.2","1981.0","Sphinx "
"456","482","362","DIRECTED_BY","6.9","1967.0","You Only Live Twice "
"457","476","755","DIRECTED_BY","4.5","1988.0","Poltergeist III "
"458","483","756","DIRECTED_BY","7.6","1963.0","It's a Mad, Mad, Mad, Mad World "
"459","484","757","DIRECTED_BY","6.7","1981.0","Heavy Metal "
"460","476","364","DIRECTED_BY","8.5","1979.0","Alien "
"461","485","354","DIRECTED_BY","7.5","1974.0","The Texas Chain Saw Massacre "
"462","486","741","DIRECTED_BY","8.0","1971.0","Fiddler on the Roof "
"463","39","335","DIRECTED_BY","7.0","1965.0","Thunderball "
"464","487","758","DIRECTED_BY","6.5","1988.0","Child's Play "
"465","488","374","DIRECTED_BY","7.5","1983.0","Trading Places "
"466","32","759","DIRECTED_BY","7.7","1989.0","Henry V "
"467","459","760","DIRECTED_BY","5.7","1984.0","The Ice Pirates "
"468","446","761","DIRECTED_BY","6.5","1986.0","Crocodile Dundee "
"469","59","762","DIRECTED_BY","7.2","1987.0","The Lost Boys "
"470","489","763","DIRECTED_BY","6.9","1979.0","The Rose "
"471","490","764","DIRECTED_BY","5.9","1968.0","Barbarella "
"472","491","765","DIRECTED_BY","7.2","1951.0","Quo Vadis "
"473","466","766","DIRECTED_BY","7.7","1979.0","The Muppet Movie "
"474","492","352","DIRECTED_BY","8.0","1965.0","The Sound of Music "
"475","81","767","DIRECTED_BY","6.2","1984.0","Splash "
"476","493","709","DIRECTED_BY","8.1","1986.0","Stand by Me "
"477","70","768","DIRECTED_BY","7.6","1979.0","Escape from Alcatraz "
"478","494","769","DIRECTED_BY","5.0","1981.0","Modern Problems "
"605","770","1076","DIRECTED_BY","6.8","1969.0","On Her Majesty's Secret Service "
"606","771","1077","DIRECTED_BY","4.0","1983.0","The Wicked Lady "
"607","772","1078","DIRECTED_BY","8.1","1988.0","Akira "
"608","773","1079","DIRECTED_BY","6.5","1989.0","The Blood of Heroes "
"609","774","1080","DIRECTED_BY","7.4","1989.0","Driving Miss Daisy "
"610","775","1081","DIRECTED_BY","6.0","1984.0","The Hotel New Hampshire "
"611","39","1082","DIRECTED_BY","6.7","1971.0","Diamonds Are Forever "
"612","56","332","DIRECTED_BY","9.2","1972.0","The Godfather "
"613","776","413","DIRECTED_BY","6.1","1983.0","Flashdance "
"614","42","1082","DIRECTED_BY","6.8","1973.0","Live and Let Die "
"615","777","1083","DIRECTED_BY","6.8","1976.0","Logan's Run "
"616","37","1082","DIRECTED_BY","6.8","1974.0","The Man with the Golden Gun "
"617","473","1084","DIRECTED_BY","5.2","1988.0","Action Jackson "
"618","778","1085","DIRECTED_BY","4.1","1978.0","Alien Zone "
"619","779","1086","DIRECTED_BY","6.2","1989.0","Warlock "
"620","780","346","DIRECTED_BY","7.6","1988.0","The Last Temptation of Christ "
"621","54","1087","DIRECTED_BY","4.8","1983.0","Losin' It "
"622","781","1088","DIRECTED_BY","6.3","1977.0","March or Die "
"623","782","1089","DIRECTED_BY","6.8","1987.0","La Bamba "
"624","783","1090","DIRECTED_BY","7.2","1981.0","The Four Seasons "
"625","784","380","DIRECTED_BY","7.1","1980.0","Dressed to Kill "
"626","785","352","DIRECTED_BY","7.2","1971.0","The Andromeda Strain "
"627","786","1091","DIRECTED_BY","7.3","1985.0","The Return of the Living Dead "
"628","787","1092","DIRECTED_BY","7.2","1978.0","Grease "
"629","29","707","DIRECTED_BY","8.1","1986.0","Platoon "
"630","788","1093","DIRECTED_BY","8.1","1969.0","Butch Cassidy and the Sundance Kid "
"631","789","1094","DIRECTED_BY","7.8","1964.0","Mary Poppins "
"632","790","1095","DIRECTED_BY","7.8","1980.0","Ordinary People "
"633","783","1096","DIRECTED_BY","7.6","1961.0","West Side Story "
"634","36","716","DIRECTED_BY","7.4","1980.0","Caddyshack "
"635","791","1097","DIRECTED_BY","5.1","1989.0","A Nightmare on Elm Street 5: The Dream Child "
"636","58","1098","DIRECTED_BY","6.9","1946.0","Duel in the Sun "
"637","482","349","DIRECTED_BY","7.2","1981.0","Escape from New York "
"638","792","1099","DIRECTED_BY","5.8","1988.0","School Daze "
"639","793","1100","DIRECTED_BY","6.2","1988.0","Mystic Pizza "
"640","482","1101","DIRECTED_BY","5.2","1989.0","Halloween 5 "
"641","794","1102","DIRECTED_BY","8.0","1969.0","The Wild Bunch "
"642","795","1103","DIRECTED_BY","7.0","1979.0","The Great Train Robbery "
"643","38","1104","DIRECTED_BY","7.4","1977.0","Julia "
"644","796","750","DIRECTED_BY","7.3","1983.0","Videodrome "
"645","797","734","DIRECTED_BY","7.9","1964.0","The Train "
"646","435","1093","DIRECTED_BY","8.3","1973.0","The Sting "
"647","798","1105","DIRECTED_BY","7.2","1981.0","Chariots of Fire "
"648","799","1106","DIRECTED_BY","3.4","1980.0","Galaxina "
"649","800","1099","DIRECTED_BY","7.9","1989.0","Do the Right Thing "
"650","801","397","DIRECTED_BY","7.3","1980.0","Somewhere in Time "
"651","802","1107","DIRECTED_BY","6.6","1987.0","A Nightmare on Elm Street 3: Dream Warriors "
"652","471","1108","DIRECTED_BY","6.8","1953.0","The Robe "
"653","803","392","DIRECTED_BY","7.1","1975.0","The Return of the Pink Panther "
"654","7","382","DIRECTED_BY","7.2","1954.0","20,000 Leagues Under the Sea "
"655","804","337","DIRECTED_BY","8.2","1980.0","The Elephant Man "
"656","805","747","DIRECTED_BY","7.3","1982.0","The Man from Snowy River "
"657","771","1109","DIRECTED_BY","6.7","1981.0","Mommie Dearest "
"658","806","1110","DIRECTED_BY","6.6","1954.0","The Egyptian "
"659","5","1111","DIRECTED_BY","6.4","1981.0","Nighthawks "
"660","807","1112","DIRECTED_BY","4.5","1989.0","Friday the 13th Part VIII: Jason Takes Manhattan "
"661","482","1113","DIRECTED_BY","5.9","1988.0","Halloween 4: The Return of Michael Myers "
"662","808","1114","DIRECTED_BY","6.2","1986.0","April Fool's Day "
"663","79","379","DIRECTED_BY","7.2","1982.0","Diner "
